species,lon,lat
Heracleum sosnowskyi,36.3480237724791,55.8188004803579
Heracleum sosnowskyi,36.2691252951962,55.7784010661563
Heracleum sosnowskyi,36.0349204602111,56.05852028008681
Heracleum sosnowskyi,35.761796025666094,56.06097936920251
Heracleum sosnowskyi,36.180913136632,55.7798498065234
Heracleum sosnowskyi,36.3585222035368,55.728057943419394
Heracleum sosnowskyi,36.4077078601296,56.12302012577819
Heracleum sosnowskyi,36.90265554521719,56.30827761641889
Heracleum sosnowskyi,35.6533760863373,55.64232469323001
Heracleum sosnowskyi,36.7294522264391,56.2115228040342
Heracleum sosnowskyi,35.3029432343428,55.99828933808251
Heracleum sosnowskyi,36.9217211671981,56.37022018141631
Heracleum sosnowskyi,36.6681824478617,56.3415530168583
Heracleum sosnowskyi,36.883601849146,56.2954614175104
Heracleum sosnowskyi,35.9833370095953,55.56887184116259
Heracleum sosnowskyi,36.6199682254533,56.3109450424797
Heracleum sosnowskyi,37.040169631023694,56.5295661921261
Heracleum sosnowskyi,36.379220870246996,55.90159485581799
Heracleum sosnowskyi,36.3092275473135,55.8787902718536
Heracleum sosnowskyi,35.4990926651943,55.97843163191429
Heracleum sosnowskyi,36.7406573267742,56.24356895624229
Heracleum sosnowskyi,36.4667017289017,56.1935537739875
Heracleum sosnowskyi,36.9565837352512,56.3462393597587
Heracleum sosnowskyi,35.9386721855729,55.346114149148704
Heracleum sosnowskyi,35.9512763648124,55.8321337103025
Heracleum sosnowskyi,36.81481996067269,56.275106018428005
Heracleum sosnowskyi,36.195005281068894,56.004663310063705
Heracleum sosnowskyi,35.92795824727529,55.52552234308169
Heracleum sosnowskyi,36.1832074393718,56.0064731363262
Heracleum sosnowskyi,36.38262198661539,55.9348654988437
Heracleum sosnowskyi,35.63231110777141,56.00022832497719
Heracleum sosnowskyi,35.91487169956929,56.094213492558694
Heracleum sosnowskyi,36.3143827049979,55.8081752907571
Heracleum sosnowskyi,36.7266097806169,56.2393683830445
Heracleum sosnowskyi,36.2099961234224,55.77313385024701
Heracleum sosnowskyi,36.994037808597994,55.935585538341904
Heracleum sosnowskyi,35.96085346741359,55.3830929209016
Heracleum sosnowskyi,36.2423166336058,56.096012600700895
Heracleum sosnowskyi,36.094621648470294,55.43429283494639
Heracleum sosnowskyi,36.2634556200808,55.913802102185294
Heracleum sosnowskyi,36.93954941557309,56.3623884371766
Heracleum sosnowskyi,36.8383206873498,56.301866794716794
Heracleum sosnowskyi,35.9892355369904,55.3919006238147
Heracleum sosnowskyi,35.5274134909399,55.9447440523961
Heracleum sosnowskyi,36.78853476476759,56.066796444999895
Heracleum sosnowskyi,35.2943054223574,56.0018969324975
Heracleum sosnowskyi,36.4055108919141,55.8797739269252
Heracleum sosnowskyi,36.852233433226296,56.3065008492348
Heracleum sosnowskyi,36.309882993005694,55.57269240762851
Heracleum sosnowskyi,36.482943431993796,55.98230740596199
Heracleum sosnowskyi,36.9238312662999,56.48054585160979
Heracleum sosnowskyi,36.0108566868866,55.5435956189427
Heracleum sosnowskyi,36.5107626374858,55.95383804459009
Heracleum sosnowskyi,36.7313034835689,56.2349363729153
Heracleum sosnowskyi,35.75748214958149,55.33369391993849
Heracleum sosnowskyi,35.9693513188083,56.062532958829
Heracleum sosnowskyi,36.9310455540091,56.3721969452328
Heracleum sosnowskyi,35.40547311609149,55.52184669157159
Heracleum sosnowskyi,36.150632484001896,56.0812709586878
Heracleum sosnowskyi,36.1107210985998,55.440708352008784
Heracleum sosnowskyi,36.631696641287,55.50180052887131
Heracleum sosnowskyi,37.003493015290395,55.9667568507481
Heracleum sosnowskyi,36.6588033427001,56.3392771924885
Heracleum sosnowskyi,36.226328618471,56.07893606324871
Heracleum sosnowskyi,37.140204319473796,55.6237974746737
Heracleum sosnowskyi,36.05643726266949,56.0293743218675
